t im envp envn
0.03628 1.17973 1.37541 -1.37541
0.03878 1.14954 1.34960 -1.34960
0.04128 1.12121 1.32556 -1.32556
0.04379 1.09453 1.30307 -1.30307
0.04629 1.06931 1.28196 -1.28196
0.04879 1.04540 1.26208 -1.26208
0.05129 1.02266 1.24331 -1.24331
0.05379 1.00098 1.22554 -1.22554
0.05630 0.98026 1.20868 -1.20868
0.05880 0.96042 1.19265 -1.19265
0.06130 0.94139 1.17737 -1.17737
0.06380 0.92309 1.16280 -1.16280
0.06631 0.90548 1.14887 -1.14887
0.06881 0.88849 1.13553 -1.13553
0.07131 0.87209 1.12274 -1.12274
0.07381 0.85624 1.11047 -1.11047
0.07631 0.84088 1.09867 -1.09867
0.07882 0.82600 1.08733 -1.08733
0.08132 0.81156 1.07640 -1.07640
0.08382 0.79754 1.06586 -1.06586
0.08632 0.78390 1.05570 -1.05570
0.08882 0.77063 1.04589 -1.04589
0.09133 0.75771 1.03640 -1.03640
0.09383 0.74511 1.02722 -1.02722
0.09633 0.73282 1.01834 -1.01834
0.09883 0.72082 1.00974 -1.00974
0.10133 0.70909 1.00141 -1.00141
0.10384 0.69763 0.99332 -0.99332
0.10634 0.68642 0.98548 -0.98548
0.10884 0.67544 0.97786 -0.97786
0.11134 0.66469 0.97047 -0.97047
0.11384 0.65415 0.96328 -0.96328
0.11635 0.64382 0.95629 -0.95629
0.11885 0.63368 0.94950 -0.94950
0.12135 0.62372 0.94288 -0.94288
0.12385 0.61395 0.93645 -0.93645
0.12636 0.60434 0.93018 -0.93018
0.12886 0.59490 0.92407 -0.92407
0.13136 0.58562 0.91812 -0.91812
0.13386 0.57648 0.91232 -0.91232
0.13636 0.56749 0.90666 -0.90666
0.13887 0.55863 0.90115 -0.90115
0.14137 0.54991 0.89577 -0.89577
0.14387 0.54131 0.89051 -0.89051
0.14637 0.53283 0.88539 -0.88539
0.14887 0.52448 0.88038 -0.88038
0.15138 0.51623 0.87550 -0.87550
0.15388 0.50809 0.87072 -0.87072
0.15638 0.50006 0.86606 -0.86606
0.15888 0.49212 0.86150 -0.86150
0.16138 0.48428 0.85705 -0.85705
0.16389 0.47654 0.85270 -0.85270
0.16639 0.46888 0.84844 -0.84844
0.16889 0.46131 0.84428 -0.84428
0.17139 0.45383 0.84021 -0.84021
0.17389 0.44642 0.83624 -0.83624
0.17640 0.43909 0.83235 -0.83235
0.17890 0.43183 0.82854 -0.82854
0.18140 0.42465 0.82482 -0.82482
0.18390 0.41753 0.82118 -0.82118
0.18641 0.41048 0.81762 -0.81762
0.18891 0.40350 0.81413 -0.81413
0.19141 0.39657 0.81072 -0.81072
0.19391 0.38971 0.80738 -0.80738
0.19641 0.38290 0.80412 -0.80412
0.19892 0.37614 0.80093 -0.80093
0.20142 0.36944 0.79780 -0.79780
0.20392 0.36279 0.79474 -0.79474
0.20642 0.35619 0.79175 -0.79175
0.20892 0.34964 0.78883 -0.78883
0.21143 0.34313 0.78596 -0.78596
0.21393 0.33666 0.78316 -0.78316
0.21643 0.33024 0.78042 -0.78042
0.21893 0.32385 0.77774 -0.77774
0.22143 0.31751 0.77512 -0.77512
0.22394 0.31120 0.77256 -0.77256
0.22644 0.30492 0.77005 -0.77005
0.22894 0.29868 0.76760 -0.76760
0.23144 0.29247 0.76521 -0.76521
0.23394 0.28629 0.76287 -0.76287
0.23645 0.28014 0.76058 -0.76058
0.23895 0.27402 0.75835 -0.75835
0.24145 0.26792 0.75616 -0.75616
0.24395 0.26185 0.75403 -0.75403
0.24646 0.25581 0.75196 -0.75196
0.24896 0.24978 0.74993 -0.74993
0.25146 0.24377 0.74795 -0.74795
0.25396 0.23779 0.74602 -0.74602
0.25646 0.23182 0.74414 -0.74414
0.25897 0.22587 0.74230 -0.74230
0.26147 0.21993 0.74052 -0.74052
0.26397 0.21401 0.73878 -0.73878
0.26647 0.20810 0.73709 -0.73709
0.26897 0.20220 0.73545 -0.73545
0.27148 0.19631 0.73385 -0.73385
0.27398 0.19043 0.73230 -0.73230
0.27648 0.18456 0.73080 -0.73080
0.27898 0.17870 0.72934 -0.72934
0.28148 0.17284 0.72792 -0.72792
0.28399 0.16698 0.72656 -0.72656
0.28649 0.16113 0.72523 -0.72523
0.28899 0.15527 0.72395 -0.72395
0.29149 0.14942 0.72272 -0.72272
0.29399 0.14357 0.72153 -0.72153
0.29650 0.13771 0.72039 -0.72039
0.29900 0.13185 0.71929 -0.71929
0.30150 0.12598 0.71824 -0.71824
0.30400 0.12011 0.71723 -0.71723
0.30651 0.11423 0.71627 -0.71627
0.30901 0.10833 0.71536 -0.71536
0.31151 0.10243 0.71449 -0.71449
0.31401 0.09651 0.71366 -0.71366
0.31651 0.09058 0.71289 -0.71289
0.31902 0.08464 0.71215 -0.71215
0.32152 0.07867 0.71147 -0.71147
0.32402 0.07269 0.71083 -0.71083
0.32652 0.06669 0.71024 -0.71024
0.32902 0.06066 0.70970 -0.70970
0.33153 0.05461 0.70921 -0.70921
0.33403 0.04853 0.70877 -0.70877
0.33653 0.04243 0.70838 -0.70838
0.33903 0.03630 0.70804 -0.70804
0.34153 0.03013 0.70775 -0.70775
0.34404 0.02393 0.70751 -0.70751
0.34654 0.01769 0.70733 -0.70733
0.34904 0.01142 0.70720 -0.70720
0.35154 0.00511 0.70713 -0.70713
0.35405 -0.00125 0.70711 -0.70711
0.35655 -0.00766 0.70715 -0.70715
0.35905 -0.01411 0.70725 -0.70725
0.36155 -0.02061 0.70741 -0.70741
0.36405 -0.02717 0.70763 -0.70763
0.36656 -0.03378 0.70791 -0.70791
0.36906 -0.04046 0.70826 -0.70826
0.37156 -0.04719 0.70868 -0.70868
0.37406 -0.05400 0.70917 -0.70917
0.37656 -0.06087 0.70972 -0.70972
0.37907 -0.06782 0.71035 -0.71035
0.38157 -0.07485 0.71106 -0.71106
0.38407 -0.08196 0.71184 -0.71184
0.38657 -0.08916 0.71271 -0.71271
0.38907 -0.09645 0.71365 -0.71365
0.39158 -0.10383 0.71469 -0.71469
0.39408 -0.11133 0.71582 -0.71582
0.39658 -0.11893 0.71704 -0.71704
0.39908 -0.12664 0.71836 -0.71836
0.40158 -0.13448 0.71978 -0.71978
0.40409 -0.14245 0.72131 -0.72131
0.40659 -0.15056 0.72296 -0.72296
0.40909 -0.15881 0.72472 -0.72472
0.41159 -0.16722 0.72661 -0.72661
0.41410 -0.17579 0.72863 -0.72863
0.41660 -0.18454 0.73079 -0.73079
0.41910 -0.19348 0.73310 -0.73310
0.42160 -0.20262 0.73556 -0.73556
0.42410 -0.21197 0.73819 -0.73819
0.42661 -0.22155 0.74100 -0.74100
0.42911 -0.23139 0.74400 -0.74400
0.43161 -0.24149 0.74721 -0.74721
0.43411 -0.25187 0.75063 -0.75063
0.43661 -0.26257 0.75428 -0.75428
0.43912 -0.27361 0.75820 -0.75820
0.44162 -0.28501 0.76239 -0.76239
0.44412 -0.29682 0.76688 -0.76688
0.44662 -0.30906 0.77170 -0.77170
0.44912 -0.32179 0.77688 -0.77688
0.45163 -0.33505 0.78247 -0.78247
0.45413 -0.34890 0.78850 -0.78850
0.45663 -0.36341 0.79503 -0.79503
0.45913 -0.37865 0.80211 -0.80211
0.46163 -0.39473 0.80982 -0.80982
0.46414 -0.41176 0.81826 -0.81826
0.46664 -0.42988 0.82752 -0.82752
0.46914 -0.44925 0.83775 -0.83775
0.47164 -0.47010 0.84911 -0.84911
0.47415 -0.49269 0.86183 -0.86183
0.47665 -0.51739 0.87618 -0.87618
0.47915 -0.54468 0.89257 -0.89257
0.48165 -0.57522 0.91153 -0.91153
0.48415 -0.60998 0.93385 -0.93385
0.48666 -0.65041 0.96075 -0.96075
0.48916 -0.69888 0.99420 -0.99420
0.49166 -0.75966 1.03783 -1.03783
0.49416 -0.84166 1.09927 -1.09927
0.49666 -0.96933 1.19983 -1.19983
0.49917 -1.28305 1.46500 -1.46500
0.50167 -1.12873 1.12873 -1.12873
0.50417 -0.92417 0.92417 -0.92417
0.50667 -0.82005 0.82005 -0.82005
0.50917 -0.75003 0.75003 -0.75003
0.51168 -0.69740 0.69740 -0.69740
0.51418 -0.65534 0.65534 -0.65534
0.51668 -0.62039 0.62039 -0.62039
0.51918 -0.59055 0.59055 -0.59055
0.52168 -0.56457 0.56457 -0.56457
0.52419 -0.54159 0.54159 -0.54159
0.52669 -0.52103 0.52103 -0.52103
0.52919 -0.50245 0.50245 -0.50245
0.53169 -0.48551 0.48551 -0.48551
0.53420 -0.46998 0.46998 -0.46998
0.53670 -0.45564 0.45564 -0.45564
0.53920 -0.44235 0.44235 -0.44235
0.54170 -0.42996 0.42996 -0.42996
0.54420 -0.41838 0.41838 -0.41838
0.54671 -0.40752 0.40752 -0.40752
0.54921 -0.39729 0.39729 -0.39729
0.55171 -0.38764 0.38764 -0.38764
0.55421 -0.37850 0.37850 -0.37850
0.55671 -0.36984 0.36984 -0.36984
0.55922 -0.36161 0.36161 -0.36161
0.56172 -0.35377 0.35377 -0.35377
0.56422 -0.34630 0.34630 -0.34630
0.56672 -0.33916 0.33916 -0.33916
0.56922 -0.33233 0.33233 -0.33233
0.57173 -0.32579 0.32579 -0.32579
0.57423 -0.31951 0.31951 -0.31951
0.57673 -0.31348 0.31348 -0.31348
0.57923 -0.30769 0.30769 -0.30769
0.58173 -0.30211 0.30211 -0.30211
0.58424 -0.29673 0.29673 -0.29673
0.58674 -0.29155 0.29155 -0.29155
0.58924 -0.28655 0.28655 -0.28655
0.59174 -0.28171 0.28171 -0.28171
0.59425 -0.27704 0.27704 -0.27704
0.59675 -0.27252 0.27252 -0.27252
0.59925 -0.26815 0.26815 -0.26815
0.60175 -0.26391 0.26391 -0.26391
0.60425 -0.25979 0.25979 -0.25979
0.60676 -0.25581 0.25581 -0.25581
0.60926 -0.25194 0.25194 -0.25194
0.61176 -0.24818 0.24818 -0.24818
0.61426 -0.24453 0.24453 -0.24453
0.61676 -0.24098 0.24098 -0.24098
0.61927 -0.23752 0.23752 -0.23752
0.62177 -0.23416 0.23416 -0.23416
0.62427 -0.23089 0.23089 -0.23089
0.62677 -0.22770 0.22770 -0.22770
0.62927 -0.22460 0.22460 -0.22460
0.63178 -0.22157 0.22157 -0.22157
0.63428 -0.21862 0.21862 -0.21862
0.63678 -0.21574 0.21574 -0.21574
0.63928 -0.21293 0.21293 -0.21293
0.64178 -0.21019 0.21019 -0.21019
0.64429 -0.20751 0.20751 -0.20751
0.64679 -0.20489 0.20489 -0.20489
0.64929 -0.20234 0.20234 -0.20234
0.65179 -0.19984 0.19984 -0.19984
0.65430 -0.19740 0.19740 -0.19740
0.65680 -0.19501 0.19501 -0.19501
0.65930 -0.19267 0.19267 -0.19267
0.66180 -0.19038 0.19038 -0.19038
0.66430 -0.18814 0.18814 -0.18814
0.66681 -0.18595 0.18595 -0.18595
0.66931 -0.18380 0.18380 -0.18380
0.67181 -0.18170 0.18170 -0.18170
0.67431 -0.17964 0.17964 -0.17964
0.67681 -0.17762 0.17762 -0.17762
0.67932 -0.17564 0.17564 -0.17564
0.68182 -0.17370 0.17370 -0.17370
0.68432 -0.17179 0.17179 -0.17179
0.68682 -0.16993 0.16993 -0.16993
0.68932 -0.16809 0.16809 -0.16809
0.69183 -0.16630 0.16630 -0.16630
0.69433 -0.16453 0.16453 -0.16453
0.69683 -0.16280 0.16280 -0.16280
0.69933 -0.16110 0.16110 -0.16110
0.70183 -0.15943 0.15943 -0.15943
0.70434 -0.15779 0.15779 -0.15779
0.70684 -0.15618 0.15618 -0.15618
0.70934 -0.15460 0.15460 -0.15460
0.71184 -0.15305 0.15305 -0.15305
0.71435 -0.15152 0.15152 -0.15152
0.71685 -0.15002 0.15002 -0.15002
0.71935 -0.14854 0.14854 -0.14854
0.72185 -0.14709 0.14709 -0.14709
0.72435 -0.14566 0.14566 -0.14566
0.72686 -0.14426 0.14426 -0.14426
0.72936 -0.14288 0.14288 -0.14288
0.73186 -0.14152 0.14152 -0.14152
0.73436 -0.14019 0.14019 -0.14019
0.73686 -0.13887 0.13887 -0.13887
0.73937 -0.13758 0.13758 -0.13758
0.74187 -0.13630 0.13630 -0.13630
0.74437 -0.13505 0.13505 -0.13505
0.74687 -0.13381 0.13381 -0.13381
0.74937 -0.13260 0.13260 -0.13260
0.75188 -0.13140 0.13140 -0.13140
0.75438 -0.13022 0.13022 -0.13022
0.75688 -0.12906 0.12906 -0.12906
0.75938 -0.12792 0.12792 -0.12792
0.76188 -0.12679 0.12679 -0.12679
0.76439 -0.12568 0.12568 -0.12568
0.76689 -0.12459 0.12459 -0.12459
0.76939 -0.12351 0.12351 -0.12351
0.77189 -0.12245 0.12245 -0.12245
0.77440 -0.12140 0.12140 -0.12140
0.77690 -0.12037 0.12037 -0.12037
0.77940 -0.11935 0.11935 -0.11935
0.78190 -0.11835 0.11835 -0.11835
0.78440 -0.11736 0.11736 -0.11736
0.78691 -0.11638 0.11638 -0.11638
0.78941 -0.11542 0.11542 -0.11542
0.79191 -0.11447 0.11447 -0.11447
0.79441 -0.11353 0.11353 -0.11353
0.79691 -0.11261 0.11261 -0.11261
0.79942 -0.11170 0.11170 -0.11170
0.80192 -0.11080 0.11080 -0.11080
0.80442 -0.10991 0.10991 -0.10991
0.80692 -0.10903 0.10903 -0.10903
0.80942 -0.10817 0.10817 -0.10817
0.81193 -0.10732 0.10732 -0.10732
0.81443 -0.10648 0.10648 -0.10648
0.81693 -0.10564 0.10564 -0.10564
0.81943 -0.10482 0.10482 -0.10482
0.82193 -0.10401 0.10401 -0.10401
0.82444 -0.10321 0.10321 -0.10321
0.82694 -0.10242 0.10242 -0.10242
0.82944 -0.10164 0.10164 -0.10164
0.83194 -0.10087 0.10087 -0.10087
0.83445 -0.10011 0.10011 -0.10011
0.83695 -0.09936 0.09936 -0.09936
0.83945 -0.09862 0.09862 -0.09862
0.84195 -0.09789 0.09789 -0.09789
0.84445 -0.09716 0.09716 -0.09716
0.84696 -0.09645 0.09645 -0.09645
0.84946 -0.09574 0.09574 -0.09574
0.85196 -0.09504 0.09504 -0.09504
0.85446 -0.09435 0.09435 -0.09435
0.85696 -0.09367 0.09367 -0.09367
0.85947 -0.09299 0.09299 -0.09299
0.86197 -0.09233 0.09233 -0.09233
0.86447 -0.09167 0.09167 -0.09167
0.86697 -0.09102 0.09102 -0.09102
0.86947 -0.09037 0.09037 -0.09037
0.87198 -0.08974 0.08974 -0.08974
0.87448 -0.08911 0.08911 -0.08911
0.87698 -0.08848 0.08848 -0.08848
0.87948 -0.08787 0.08787 -0.08787
0.88198 -0.08726 0.08726 -0.08726
0.88449 -0.08666 0.08666 -0.08666
0.88699 -0.08607 0.08607 -0.08607
0.88949 -0.08548 0.08548 -0.08548
0.89199 -0.08490 0.08490 -0.08490
0.89450 -0.08432 0.08432 -0.08432
0.89700 -0.08375 0.08375 -0.08375
0.89950 -0.08319 0.08319 -0.08319
0.90200 -0.08263 0.08263 -0.08263
0.90450 -0.08208 0.08208 -0.08208
0.90701 -0.08154 0.08154 -0.08154
0.90951 -0.08100 0.08100 -0.08100
0.91201 -0.08046 0.08046 -0.08046
0.91451 -0.07993 0.07993 -0.07993
0.91701 -0.07941 0.07941 -0.07941
0.91952 -0.07890 0.07890 -0.07890
0.92202 -0.07838 0.07838 -0.07838
0.92452 -0.07788 0.07788 -0.07788
0.92702 -0.07738 0.07738 -0.07738
0.92952 -0.07688 0.07688 -0.07688
0.93203 -0.07639 0.07639 -0.07639
0.93453 -0.07590 0.07590 -0.07590
0.93703 -0.07542 0.07542 -0.07542
0.93953 -0.07495 0.07495 -0.07495
0.94204 -0.07448 0.07448 -0.07448
0.94454 -0.07401 0.07401 -0.07401
0.94704 -0.07355 0.07355 -0.07355
0.94954 -0.07309 0.07309 -0.07309
0.95204 -0.07264 0.07264 -0.07264
0.95455 -0.07219 0.07219 -0.07219
0.95705 -0.07174 0.07174 -0.07174
0.95955 -0.07130 0.07130 -0.07130
0.96205 -0.07087 0.07087 -0.07087
0.96455 -0.07044 0.07044 -0.07044
0.96706 -0.07001 0.07001 -0.07001
0.96956 -0.06959 0.06959 -0.06959
0.97206 -0.06917 0.06917 -0.06917
0.97456 -0.06875 0.06875 -0.06875
0.97706 -0.06834 0.06834 -0.06834
0.97957 -0.06794 0.06794 -0.06794
0.98207 -0.06753 0.06753 -0.06753
0.98457 -0.06713 0.06713 -0.06713
0.98707 -0.06674 0.06674 -0.06674
0.98957 -0.06635 0.06635 -0.06635
0.99208 -0.06596 0.06596 -0.06596
0.99458 -0.06557 0.06557 -0.06557
0.99708 -0.06519 0.06519 -0.06519
0.99958 -0.06481 0.06481 -0.06481
1.00209 -0.06444 0.06444 -0.06444
1.00459 -0.06407 0.06407 -0.06407
1.00709 -0.06370 0.06370 -0.06370
1.00959 -0.06334 0.06334 -0.06334
1.01209 -0.06298 0.06298 -0.06298
1.01460 -0.06262 0.06262 -0.06262
1.01710 -0.06226 0.06226 -0.06226
1.01960 -0.06191 0.06191 -0.06191
1.02210 -0.06156 0.06156 -0.06156
1.02460 -0.06122 0.06122 -0.06122
1.02711 -0.06088 0.06088 -0.06088
1.02961 -0.06054 0.06054 -0.06054
1.03211 -0.06020 0.06020 -0.06020
1.03461 -0.05987 0.05987 -0.05987
1.03711 -0.05954 0.05954 -0.05954
1.03962 -0.05921 0.05921 -0.05921
1.04212 -0.05889 0.05889 -0.05889
1.04462 -0.05856 0.05856 -0.05856
1.04712 -0.05825 0.05825 -0.05825
1.04962 -0.05793 0.05793 -0.05793
1.05213 -0.05762 0.05762 -0.05762
1.05463 -0.05730 0.05730 -0.05730
1.05713 -0.05700 0.05700 -0.05700
1.05963 -0.05669 0.05669 -0.05669
1.06214 -0.05639 0.05639 -0.05639
1.06464 -0.05609 0.05609 -0.05609
1.06714 -0.05579 0.05579 -0.05579
1.06964 -0.05549 0.05549 -0.05549
1.07214 -0.05520 0.05520 -0.05520
1.07465 -0.05491 0.05491 -0.05491
1.07715 -0.05462 0.05462 -0.05462
1.07965 -0.05433 0.05433 -0.05433
1.08215 -0.05405 0.05405 -0.05405
1.08465 -0.05377 0.05377 -0.05377
1.08716 -0.05349 0.05349 -0.05349
1.08966 -0.05321 0.05321 -0.05321
1.09216 -0.05294 0.05294 -0.05294
1.09466 -0.05267 0.05267 -0.05267
1.09716 -0.05240 0.05240 -0.05240
1.09967 -0.05213 0.05213 -0.05213
1.10217 -0.05186 0.05186 -0.05186
1.10467 -0.05160 0.05160 -0.05160
1.10717 -0.05134 0.05134 -0.05134
1.10967 -0.05108 0.05108 -0.05108
1.11218 -0.05082 0.05082 -0.05082
1.11468 -0.05056 0.05056 -0.05056
1.11718 -0.05031 0.05031 -0.05031
1.11968 -0.05006 0.05006 -0.05006
1.12219 -0.04981 0.04981 -0.04981
1.12469 -0.04956 0.04956 -0.04956
1.12719 -0.04932 0.04932 -0.04932
1.12969 -0.04907 0.04907 -0.04907
1.13219 -0.04883 0.04883 -0.04883
1.13470 -0.04859 0.04859 -0.04859
1.13720 -0.04835 0.04835 -0.04835
1.13970 -0.04812 0.04812 -0.04812
1.14220 -0.04788 0.04788 -0.04788
1.14470 -0.04765 0.04765 -0.04765
1.14721 -0.04742 0.04742 -0.04742
1.14971 -0.04719 0.04719 -0.04719
1.15221 -0.04696 0.04696 -0.04696
1.15471 -0.04673 0.04673 -0.04673
1.15721 -0.04651 0.04651 -0.04651
1.15972 -0.04629 0.04629 -0.04629
1.16222 -0.04607 0.04607 -0.04607
1.16472 -0.04585 0.04585 -0.04585
1.16722 -0.04563 0.04563 -0.04563
1.16972 -0.04541 0.04541 -0.04541
1.17223 -0.04520 0.04520 -0.04520
1.17473 -0.04499 0.04499 -0.04499
1.17723 -0.04477 0.04477 -0.04477
1.17973 -0.04456 0.04456 -0.04456
1.18224 -0.04436 0.04436 -0.04436
1.18474 -0.04415 0.04415 -0.04415
1.18724 -0.04394 0.04394 -0.04394
1.18974 -0.04374 0.04374 -0.04374
1.19224 -0.04354 0.04354 -0.04354
1.19475 -0.04334 0.04334 -0.04334
1.19725 -0.04314 0.04314 -0.04314
1.19975 -0.04294 0.04294 -0.04294
1.20225 -0.04274 0.04274 -0.04274
1.20475 -0.04255 0.04255 -0.04255
1.20726 -0.04235 0.04235 -0.04235
1.20976 -0.04216 0.04216 -0.04216
1.21226 -0.04197 0.04197 -0.04197
1.21476 -0.04178 0.04178 -0.04178
1.21726 -0.04159 0.04159 -0.04159
1.21977 -0.04141 0.04141 -0.04141
1.22227 -0.04122 0.04122 -0.04122
1.22477 -0.04103 0.04103 -0.04103
1.22727 -0.04085 0.04085 -0.04085
1.22977 -0.04067 0.04067 -0.04067
1.23228 -0.04049 0.04049 -0.04049
1.23478 -0.04031 0.04031 -0.04031
1.23728 -0.04013 0.04013 -0.04013
1.23978 -0.03995 0.03995 -0.03995
1.24229 -0.03978 0.03978 -0.03978
1.24479 -0.03960 0.03960 -0.03960
1.24729 -0.03943 0.03943 -0.03943
1.24979 -0.03926 0.03926 -0.03926
1.25229 -0.03909 0.03909 -0.03909
1.25480 -0.03892 0.03892 -0.03892
1.25730 -0.03875 0.03875 -0.03875
1.25980 -0.03858 0.03858 -0.03858
1.26230 -0.03841 0.03841 -0.03841
1.26480 -0.03825 0.03825 -0.03825
1.26731 -0.03808 0.03808 -0.03808
1.26981 -0.03792 0.03792 -0.03792
1.27231 -0.03776 0.03776 -0.03776
1.27481 -0.03760 0.03760 -0.03760
1.27731 -0.03744 0.03744 -0.03744
1.27982 -0.03728 0.03728 -0.03728
1.28232 -0.03712 0.03712 -0.03712
1.28482 -0.03696 0.03696 -0.03696
1.28732 -0.03681 0.03681 -0.03681
1.28982 -0.03665 0.03665 -0.03665
1.29233 -0.03650 0.03650 -0.03650
1.29483 -0.03634 0.03634 -0.03634
1.29733 -0.03619 0.03619 -0.03619
1.29983 -0.03604 0.03604 -0.03604
1.30234 -0.03589 0.03589 -0.03589
1.30484 -0.03574 0.03574 -0.03574
1.30734 -0.03559 0.03559 -0.03559
1.30984 -0.03545 0.03545 -0.03545
1.31234 -0.03530 0.03530 -0.03530
1.31485 -0.03516 0.03516 -0.03516
1.31735 -0.03501 0.03501 -0.03501
1.31985 -0.03487 0.03487 -0.03487
1.32235 -0.03473 0.03473 -0.03473
1.32485 -0.03458 0.03458 -0.03458
1.32736 -0.03444 0.03444 -0.03444
1.32986 -0.03430 0.03430 -0.03430
1.33236 -0.03416 0.03416 -0.03416
1.33486 -0.03403 0.03403 -0.03403
1.33736 -0.03389 0.03389 -0.03389
1.33987 -0.03375 0.03375 -0.03375
1.34237 -0.03362 0.03362 -0.03362
1.34487 -0.03348 0.03348 -0.03348
1.34737 -0.03335 0.03335 -0.03335
1.34987 -0.03322 0.03322 -0.03322
1.35238 -0.03308 0.03308 -0.03308
1.35488 -0.03295 0.03295 -0.03295
1.35738 -0.03282 0.03282 -0.03282
1.35988 -0.03269 0.03269 -0.03269
1.36239 -0.03256 0.03256 -0.03256
1.36489 -0.03243 0.03243 -0.03243
1.36739 -0.03231 0.03231 -0.03231
1.36989 -0.03218 0.03218 -0.03218
1.37239 -0.03205 0.03205 -0.03205
1.37490 -0.03193 0.03193 -0.03193
1.37740 -0.03180 0.03180 -0.03180
1.37990 -0.03168 0.03168 -0.03168
1.38240 -0.03156 0.03156 -0.03156
1.38490 -0.03143 0.03143 -0.03143
1.38741 -0.03131 0.03131 -0.03131
1.38991 -0.03119 0.03119 -0.03119
1.39241 -0.03107 0.03107 -0.03107
1.39491 -0.03095 0.03095 -0.03095
1.39741 -0.03083 0.03083 -0.03083
1.39992 -0.03072 0.03072 -0.03072
1.40242 -0.03060 0.03060 -0.03060
1.40492 -0.03048 0.03048 -0.03048
1.40742 -0.03037 0.03037 -0.03037
1.40992 -0.03025 0.03025 -0.03025
1.41243 -0.03014 0.03014 -0.03014
1.41493 -0.03002 0.03002 -0.03002
1.41743 -0.02991 0.02991 -0.02991
1.41993 -0.02980 0.02980 -0.02980
1.42244 -0.02968 0.02968 -0.02968
1.42494 -0.02957 0.02957 -0.02957
1.42744 -0.02946 0.02946 -0.02946
1.42994 -0.02935 0.02935 -0.02935
1.43244 -0.02924 0.02924 -0.02924
1.43495 -0.02913 0.02913 -0.02913
1.43745 -0.02903 0.02903 -0.02903
1.43995 -0.02892 0.02892 -0.02892
1.44245 -0.02881 0.02881 -0.02881
1.44495 -0.02871 0.02871 -0.02871
1.44746 -0.02860 0.02860 -0.02860
1.44996 -0.02849 0.02849 -0.02849
1.45246 -0.02839 0.02839 -0.02839
1.45496 -0.02829 0.02829 -0.02829
1.45746 -0.02818 0.02818 -0.02818
1.45997 -0.02808 0.02808 -0.02808
1.46247 -0.02798 0.02798 -0.02798
1.46497 -0.02788 0.02788 -0.02788
1.46747 -0.02778 0.02778 -0.02778
1.46997 -0.02767 0.02767 -0.02767
1.47248 -0.02757 0.02757 -0.02757
1.47498 -0.02748 0.02748 -0.02748
1.47748 -0.02738 0.02738 -0.02738
1.47998 -0.02728 0.02728 -0.02728
1.48249 -0.02718 0.02718 -0.02718
1.48499 -0.02708 0.02708 -0.02708
1.48749 -0.02699 0.02699 -0.02699
1.48999 -0.02689 0.02689 -0.02689
1.49249 -0.02679 0.02679 -0.02679
1.49500 -0.02670 0.02670 -0.02670
1.49750 -0.02660 0.02660 -0.02660
1.50000 -0.02651 0.02651 -0.02651
